algorithm,maze_rows,maze_cols,density,trial,runtime,peak_memory,path_length,nodes_explored,success
BFS,10,10,0.1,1,0.0002202000468969345,16576,18,90,1
DFS,10,10,0.1,1,0.00026560004334896803,13336,44,50,1
Astar,10,10,0.1,1,0.00040659995283931494,22248,18,89,1
ACO,10,10,0.1,1,0.3563072000397369,33048,18,22236,1
BFS,10,10,0.1,2,0.00013029994443058968,16520,18,92,1
DFS,10,10,0.1,2,0.00019100005738437176,12944,44,48,1
Astar,10,10,0.1,2,0.0002736999886110425,20336,18,85,1
ACO,10,10,0.1,2,0.18338740000035614,6920,18,22503,1
BFS,10,10,0.1,3,0.00014030002057552338,16520,18,88,1
DFS,10,10,0.1,3,0.0002687000669538975,15520,22,74,1
Astar,10,10,0.1,3,0.00024910003412514925,19920,18,88,1
ACO,10,10,0.1,3,0.16697710007429123,7352,18,23292,1
BFS,10,10,0.1,4,0.0001335000852122903,16520,18,92,1
DFS,10,10,0.1,4,0.00018179998733103275,13008,40,48,1
Astar,10,10,0.1,4,0.00023580004926770926,19832,18,86,1
ACO,10,10,0.1,4,0.34456080000381917,7112,18,24371,1
BFS,10,10,0.1,5,0.00014220003504306078,16520,18,94,1
DFS,10,10,0.1,5,0.0002807999262586236,15520,28,72,1
Astar,10,10,0.1,5,0.0002685000654309988,19832,18,89,1
ACO,10,10,0.1,5,0.3246052999747917,7064,18,24325,1
BFS,10,10,0.1,6,0.0001588000450283289,16520,18,95,1
DFS,10,10,0.1,6,0.00032839993946254253,15584,24,77,1
Astar,10,10,0.1,6,0.00030449999030679464,19920,18,95,1
ACO,10,10,0.1,6,0.20763139997143298,6768,18,23045,1
BFS,10,10,0.1,7,0.00011669995728880167,16520,18,92,1
DFS,10,10,0.1,7,0.00022389995865523815,15520,28,69,1
Astar,10,10,0.1,7,0.0002172000240534544,19952,18,81,1
ACO,10,10,0.1,7,0.18812259996775538,6568,18,22211,1
BFS,10,10,0.1,8,0.00012970005627721548,16520,18,92,1
DFS,10,10,0.1,8,0.0001876000314950943,13008,40,49,1
Astar,10,10,0.1,8,0.00024480000138282776,19952,18,88,1
ACO,10,10,0.1,8,0.1875319000100717,6920,18,21797,1
BFS,10,10,0.1,9,0.0001319999573752284,16520,18,96,1
DFS,10,10,0.1,9,0.00018360000103712082,13008,40,44,1
Astar,10,10,0.1,9,0.0005046000005677342,19832,18,91,1
ACO,10,10,0.1,9,0.18856939999386668,7400,18,22186,1
BFS,10,10,0.1,10,0.00012099999003112316,16520,18,93,1
DFS,10,10,0.1,10,0.00027550000231713057,12912,28,58,1
Astar,10,10,0.1,10,0.00023550004698336124,19920,18,92,1
ACO,10,10,0.1,10,0.19265400001313537,7488,18,22435,1
BFS,10,10,0.1,11,0.00012500002048909664,16520,18,89,1
DFS,10,10,0.1,11,0.0001976999919861555,12944,32,55,1
Astar,10,10,0.1,11,0.0002308000111952424,19920,18,87,1
ACO,10,10,0.1,11,0.1821131999604404,9088,18,23907,1
BFS,10,10,0.1,12,0.00011019990779459476,13944,18,84,1
DFS,10,10,0.1,12,0.0001218999968841672,5792,30,33,1
Astar,10,10,0.1,12,0.0001879000337794423,7896,18,70,1
ACO,10,10,0.1,12,0.13830029999371618,6680,18,20738,1
BFS,10,10,0.1,13,0.00011680007446557283,16520,18,88,1
DFS,10,10,0.1,13,0.00016719999257475138,12944,32,50,1
Astar,10,10,0.1,13,0.00032079999800771475,7896,18,71,1
ACO,10,10,0.1,13,0.16922709997743368,7048,18,20276,1
BFS,10,10,0.1,14,0.0001444999361410737,16520,18,89,1
DFS,10,10,0.1,14,0.00020539993420243263,12944,34,55,1
Astar,10,10,0.1,14,0.00021740002557635307,7896,18,75,1
ACO,10,10,0.1,14,0.1805219000671059,6368,18,20589,1
BFS,10,10,0.1,15,0.00013479997869580984,16520,18,86,1
DFS,10,10,0.1,15,0.00016579998191446066,5792,26,41,1
Astar,10,10,0.1,15,0.00020969996694475412,7896,18,68,1
ACO,10,10,0.1,15,0.16297629999462515,6872,18,21097,1
BFS,10,10,0.1,16,0.00011360005009919405,6328,18,74,1
DFS,10,10,0.1,16,0.0001832999987527728,5760,34,52,1
Astar,10,10,0.1,16,0.00019129994325339794,7864,18,74,1
ACO,10,10,0.1,16,0.1606596999336034,5912,18,20933,1
BFS,10,10,0.1,17,0.00011959997937083244,16520,18,91,1
DFS,10,10,0.1,17,0.0001495999749749899,5792,32,44,1
Astar,10,10,0.1,17,0.00020269991364330053,19920,18,83,1
ACO,10,10,0.1,17,0.15885959996376187,7440,18,20125,1
BFS,10,10,0.1,18,0.00013639999087899923,16520,18,90,1
DFS,10,10,0.1,18,0.00011960009578615427,5792,28,29,1
Astar,10,10,0.1,18,0.00024510000366717577,19920,18,88,1
ACO,10,10,0.1,18,0.18663290003314614,6712,18,22614,1
BFS,10,10,0.1,19,0.00013040006160736084,16520,18,87,1
DFS,10,10,0.1,19,0.00019839999731630087,15520,38,58,1
Astar,10,10,0.1,19,0.00023370003327727318,14952,18,81,1
ACO,10,10,0.1,19,0.16071389999706298,6576,18,20200,1
BFS,10,10,0.1,20,0.00013269996270537376,16520,18,90,1
DFS,10,10,0.1,20,0.00022329995408654213,15520,34,63,1
Astar,10,10,0.1,20,0.00024140009190887213,19920,18,90,1
ACO,10,10,0.1,20,0.18713279999792576,7096,18,24692,1
BFS,10,10,0.2,1,0.00011549994815140963,16520,18,86,1
DFS,10,10,0.2,1,0.00023719994351267815,15424,26,71,1
Astar,10,10,0.2,1,0.00019970000721514225,14952,18,77,1
ACO,10,10,0.2,1,0.15811800002120435,6680,18,22333,1
BFS,10,10,0.2,2,0.00011909997556358576,13944,18,83,1
DFS,10,10,0.2,2,0.000139000010676682,5728,24,37,1
Astar,10,10,0.2,2,0.00020180002320557833,7896,18,75,1
ACO,10,10,0.2,2,0.13323230005335063,6616,18,19324,1
BFS,10,10,0.2,3,0.00010549998842179775,13944,18,81,1
DFS,10,10,0.2,3,0.0001990000018849969,5792,20,59,1
Astar,10,10,0.2,3,0.0001973999897018075,14920,18,77,1
ACO,10,10,0.2,3,0.17320409999229014,6360,18,20495,1
BFS,10,10,0.2,4,0.00015129998791962862,13944,18,85,1
DFS,10,10,0.2,4,0.00013929989654570818,5792,26,27,1
Astar,10,10,0.2,4,0.00024999992456287146,7832,18,75,1
ACO,10,10,0.2,4,0.16232200001832098,6648,18,22151,1
BFS,10,10,0.2,5,9.139999747276306e-05,6328,18,58,1
DFS,10,10,0.2,5,8.530006743967533e-05,4032,18,20,1
Astar,10,10,0.2,5,0.00014600006397813559,7864,18,48,1
ACO,10,10,0.2,5,0.12872590008191764,6360,18,19261,1
BFS,10,10,0.2,6,0.00023030000738799572,13944,18,79,1
DFS,10,10,0.2,6,0.0002009000163525343,5792,30,38,1
Astar,10,10,0.2,6,0.0009179000044241548,7832,18,60,1
ACO,10,10,0.2,6,0.15347590006422251,6296,18,19187,1
BFS,10,10,0.2,7,0.00010599999222904444,13944,18,79,1
DFS,10,10,0.2,7,0.00013189995661377907,5792,28,35,1
Astar,10,10,0.2,7,0.00018909992650151253,7864,18,72,1
ACO,10,10,0.2,7,0.1510818999959156,6808,18,22440,1
BFS,10,10,0.2,8,0.0001020999625325203,13944,18,81,1
DFS,10,10,0.2,8,0.00019779999274760485,5728,20,63,1
Astar,10,10,0.2,8,0.00017579994164407253,7832,18,72,1
ACO,10,10,0.2,8,0.14198620000388473,6424,18,20994,1
BFS,10,10,0.2,9,0.00011259992606937885,16520,18,86,1
DFS,10,10,0.2,9,0.0002839000662788749,13008,22,67,1
Astar,10,10,0.2,9,0.0002207000507041812,19888,18,86,1
ACO,10,10,0.2,9,0.14676509995479137,6960,18,21977,1
BFS,10,10,0.2,10,0.00010920001659542322,16520,18,86,1
DFS,10,10,0.2,10,0.0003501999890431762,5792,24,58,1
Astar,10,10,0.2,10,0.00018639990594238043,7832,18,72,1
ACO,10,10,0.2,10,0.13713930000085384,6872,18,20122,1
BFS,10,10,0.2,11,0.00010389997623860836,13944,18,81,1
DFS,10,10,0.2,11,0.00015089998487383127,5728,38,42,1
Astar,10,10,0.2,11,0.00015419989358633757,7896,18,54,1
ACO,10,10,0.2,11,0.15099940006621182,6616,18,20829,1
BFS,10,10,0.2,12,0.00010830000974237919,6328,18,76,1
DFS,10,10,0.2,12,0.0002185999182984233,5728,24,64,1
Astar,10,10,0.2,12,0.0001748999347910285,7864,18,62,1
ACO,10,10,0.2,12,0.17182959988713264,6616,18,23390,1
BFS,10,10,0.2,13,0.00010429997928440571,13944,18,77,1
DFS,10,10,0.2,13,0.00013189995661377907,5792,32,34,1
Astar,10,10,0.2,13,0.0001732999226078391,7864,18,63,1
ACO,10,10,0.2,13,0.13059479999355972,6488,18,19394,1
BFS,10,10,0.2,14,9.34000127017498e-05,6328,18,63,1
DFS,10,10,0.2,14,0.0002095999661833048,5728,22,64,1
Astar,10,10,0.2,14,0.00010059995111078024,5048,18,30,1
ACO,10,10,0.2,14,0.13173020002432168,6424,18,18523,1
BFS,10,10,0.2,15,0.00010030006524175406,6328,18,66,1
DFS,10,10,0.2,15,0.0002837000647559762,12880,22,76,1
Astar,10,10,0.2,15,0.00014819996431469917,7832,18,43,1
ACO,10,10,0.2,15,0.10546069999691099,6360,18,15581,1
BFS,10,10,0.2,16,0.00011039990931749344,13944,18,80,1
DFS,10,10,0.2,16,0.00022219994571059942,12848,20,67,1
Astar,10,10,0.2,16,0.0001642999704927206,7896,18,60,1
ACO,10,10,0.2,16,0.15058210003189743,6232,18,20334,1
BFS,10,10,0.2,17,0.00010629999451339245,6328,18,75,1
DFS,10,10,0.2,17,0.0001876000314950943,5760,24,56,1
Astar,10,10,0.2,17,0.00016300007700920105,7896,18,62,1
ACO,10,10,0.2,17,0.13651199999731034,5912,18,19171,1
BFS,10,10,0.2,18,0.00012940005399286747,13944,18,81,1
DFS,10,10,0.2,18,0.00013830000534653664,5760,32,35,1
Astar,10,10,0.2,18,0.00019569997675716877,7864,18,59,1
ACO,10,10,0.2,18,0.16004709992557764,6520,18,18623,1
BFS,10,10,0.2,19,0.00010459998156875372,6328,20,69,1
DFS,10,10,0.2,19,0.00015059998258948326,5728,30,38,1
Astar,10,10,0.2,19,0.00017629994545131922,7832,20,60,1
ACO,10,10,0.2,19,0.14850390003994107,6552,20,20469,1
BFS,10,10,0.2,20,0.00012430001515895128,13944,18,81,1
DFS,10,10,0.2,20,0.00014030002057552338,5792,20,32,1
Astar,10,10,0.2,20,0.0001697998959571123,7896,18,50,1
ACO,10,10,0.2,20,0.13191640004515648,6232,18,17654,1
BFS,10,10,0.3,1,9.450002107769251e-05,6328,18,65,1
DFS,10,10,0.3,1,0.00018339999951422215,5728,22,47,1
Astar,10,10,0.3,1,0.00012919993605464697,7896,18,39,1
ACO,10,10,0.3,1,0.12672549998387694,6808,18,19623,1
BFS,10,10,0.3,2,9.66999214142561e-05,6328,18,65,1
DFS,10,10,0.3,2,0.00020350003615021706,5728,24,58,1
Astar,10,10,0.3,2,0.00021399999968707561,7864,18,46,1
ACO,10,10,0.3,2,0.12448800005950034,7000,18,18140,1
BFS,10,10,0.3,3,0.00010920001659542322,6328,18,70,1
DFS,10,10,0.3,3,0.0001898000482469797,5696,28,52,1
Astar,10,10,0.3,3,0.00013860000763088465,7832,18,44,1
ACO,10,10,0.3,3,0.14879259990993887,7000,20,20635,1
BFS,10,10,0.3,4,0.00010599999222904444,6328,18,76,1
DFS,10,10,0.3,4,0.00020769995171576738,5664,22,57,1
Astar,10,10,0.3,4,0.00016029994003474712,7896,18,55,1
ACO,10,10,0.3,4,0.12828770000487566,6232,18,18873,1
BFS,10,10,0.3,5,0.00010060006752610207,6328,18,72,1
DFS,10,10,0.3,5,0.00014450005255639553,5760,30,39,1
Astar,10,10,0.3,5,0.00019340007565915585,7864,18,67,1
ACO,10,10,0.3,5,0.13591870001982898,6040,18,19880,1
BFS,10,10,0.3,6,0.00010579999070614576,6328,18,76,1
DFS,10,10,0.3,6,0.00022789998911321163,5728,22,65,1
Astar,10,10,0.3,6,0.0001620999537408352,7896,18,60,1
ACO,10,10,0.3,6,0.14744669990614057,6680,18,21902,1
BFS,10,10,0.3,7,9.26000066101551e-05,6328,18,64,1
DFS,10,10,0.3,7,0.00018319999799132347,5728,18,52,1
Astar,10,10,0.3,7,0.00014539994299411774,7832,18,53,1
ACO,10,10,0.3,7,0.1431066000368446,7000,18,20235,1
BFS,10,10,0.3,8,9.640003554522991e-05,6328,18,74,1
DFS,10,10,0.3,8,0.0001832999987527728,5792,20,51,1
Astar,10,10,0.3,8,0.00015059998258948326,7832,18,56,1
ACO,10,10,0.3,8,0.11532029998488724,6424,18,17593,1
BFS,10,10,0.3,9,9.360001422464848e-05,6328,18,71,1
DFS,10,10,0.3,9,0.00013520009815692902,5728,30,38,1
Astar,10,10,0.3,9,9.980006143450737e-05,5016,18,35,1
ACO,10,10,0.3,9,0.1190686000045389,6936,18,18224,1
BFS,10,10,0.3,10,0.00010250008199363947,6328,18,76,1
DFS,10,10,0.3,10,0.00012720003724098206,5728,22,34,1
Astar,10,10,0.3,10,0.00014729995746165514,7896,18,53,1
ACO,10,10,0.3,10,0.12312320002820343,6360,18,19158,1
BFS,10,10,0.3,11,0.00014480005484074354,6328,18,67,1
DFS,10,10,0.3,11,0.00013780000153928995,5696,20,39,1
Astar,10,10,0.3,11,0.0002226999495178461,7896,18,48,1
ACO,10,10,0.3,11,0.13139560003764927,6552,18,18344,1
BFS,10,10,0.3,12,8.950009942054749e-05,6328,18,62,1
DFS,10,10,0.3,12,0.0001012999564409256,4032,18,25,1
Astar,10,10,0.3,12,0.00013509998098015785,7832,18,47,1
ACO,10,10,0.3,12,0.11474579991772771,6872,18,17787,1
BFS,10,10,0.3,13,9.560002945363522e-05,6328,18,73,1
DFS,10,10,0.3,13,0.00010110007133334875,4032,24,28,1
Astar,10,10,0.3,13,0.00018259999342262745,7864,18,65,1
ACO,10,10,0.3,13,0.13465939997695386,6840,20,20733,1
BFS,10,10,0.3,14,0.00014140002895146608,6328,18,61,1
DFS,10,10,0.3,14,0.00014210003428161144,5792,34,39,1
Astar,10,10,0.3,14,0.00013970001600682735,7896,18,47,1
